origin,destination,distance_km,duration_hours
Recife,Salvador,675.7713987833895,8.44714248479237
Recife,Fortaleza,626.9864068755918,7.837330085944897
Recife,Natal,253.2311803603712,3.1653897545046403
Recife,João Pessoa,103.71170553759201,1.2963963192199
Recife,Maceió,203.14214833834814,2.5392768542293513
Recife,Aracaju,399.1641552626116,4.989551940782646
Recife,Teresina,935.0566105870347,11.688207632337933
Recife,São Luís,1210.596146039139,15.132451825489238
Salvador,Recife,675.7713987833895,8.44714248479237
Salvador,Fortaleza,1027.3004205443826,12.841255256804782
Salvador,Natal,875.774689680149,10.947183621001864
Salvador,João Pessoa,763.2842501717248,9.54105312714656
Salvador,Maceió,475.43815303510684,5.9429769129388355
Salvador,Aracaju,276.8934886365833,3.4611686079572914
Salvador,Teresina,995.3928629997782,12.442410787497227
Salvador,São Luís,1325.0432457454529,16.56304057181816
Fortaleza,Recife,626.9864068755918,7.837330085944897
Fortaleza,Salvador,1027.3004205443826,12.841255256804782
Fortaleza,Natal,433.08702451497936,5.413587806437241
Fortaleza,João Pessoa,553.0778936769692,6.913473670962115
Fortaleza,Maceió,728.1576256088487,9.101970320110608
Fortaleza,Aracaju,813.8717386292069,10.173396732865086
Fortaleza,Teresina,497.31988119776975,6.2164985149721215
Fortaleza,São Luís,655.4832176581715,8.193540220727144
Natal,Recife,253.2311803603712,3.1653897545046403
Natal,Salvador,875.774689680149,10.947183621001864
Natal,Fortaleza,433.08702451497936,5.413587806437241
Natal,João Pessoa,151.780852459686,1.897260655746075
Natal,Maceió,434.3250129288508,5.429062661610635
Natal,Aracaju,604.5281139568924,7.556601424461155
Natal,Teresina,843.8732908619849,10.548416135774811
Natal,São Luís,1071.9013381368945,13.398766726711182
João Pessoa,Recife,103.71170553759201,1.2963963192199
João Pessoa,Salvador,763.2842501717248,9.54105312714656
João Pessoa,Fortaleza,553.0778936769692,6.913473670962115
João Pessoa,Natal,151.780852459686,1.897260655746075
João Pessoa,Maceió,299.41831166141304,3.742728895767663
João Pessoa,Aracaju,486.7861575909657,6.084826969887071
João Pessoa,Teresina,906.1103430634613,11.326379288293268
João Pessoa,São Luís,1163.670553715409,14.54588192144261
Maceió,Recife,203.14214833834814,2.5392768542293513
Maceió,Salvador,475.43815303510684,5.9429769129388355
Maceió,Fortaleza,728.1576256088487,9.101970320110608
Maceió,Natal,434.3250129288508,5.429062661610635
Maceió,João Pessoa,299.41831166141304,3.742728895767663
Maceió,Aracaju,201.47503090234395,2.5184378862792993
Maceió,Teresina,930.5061841518227,11.631327301897784
Maceió,São Luís,1235.485755638741,15.443571945484262
Aracaju,Recife,399.1641552626116,4.989551940782646
Aracaju,Salvador,276.8934886365833,3.4611686079572914
Aracaju,Fortaleza,813.8717386292069,10.173396732865086
Aracaju,Natal,604.5281139568924,7.556601424461155
Aracaju,João Pessoa,486.7861575909657,6.084826969887071
Aracaju,Maceió,201.47503090234395,2.5184378862792993
Aracaju,Teresina,903.3693168557827,11.292116460697283
Aracaju,São Luís,1226.6090787595883,15.332613484494853
Teresina,Recife,935.0566105870347,11.688207632337933
Teresina,Salvador,995.3928629997782,12.442410787497227
Teresina,Fortaleza,497.31988119776975,6.2164985149721215
Teresina,Natal,843.8732908619849,10.548416135774811
Teresina,João Pessoa,906.1103430634613,11.326379288293268
Teresina,Maceió,930.5061841518227,11.631327301897784
Teresina,Aracaju,903.3693168557827,11.292116460697283
Teresina,São Luís,329.8793043675066,4.123491304593832
São Luís,Recife,1210.596146039139,15.132451825489238
São Luís,Salvador,1325.0432457454529,16.56304057181816
São Luís,Fortaleza,655.4832176581715,8.193540220727144
São Luís,Natal,1071.9013381368945,13.398766726711182
São Luís,João Pessoa,1163.670553715409,14.54588192144261
São Luís,Maceió,1235.485755638741,15.443571945484262
São Luís,Aracaju,1226.6090787595883,15.332613484494853
São Luís,Teresina,329.8793043675066,4.123491304593832
